[2022-06-21T12:56:14.374] [INFO] infoFile - { route: '/api/data/product/post', method: '[POST]' }
[2022-06-21T12:56:14.452] [INFO] infoFile - { route: '/api/data/product/get', method: '[GET]' }
[2022-06-21T12:57:38.106] [INFO] infoFile - { route: '/api/auth/login', method: '[POST]' }
[2022-06-21T12:57:38.420] [INFO] infoFile - { route: '/api/data/product/post', method: '[POST]' }
[2022-06-21T12:57:38.502] [INFO] infoFile - { route: '/api/data/product/get', method: '[GET]' }
[2022-06-21T12:58:03.804] [INFO] infoFile - { route: '/api/auth/login', method: '[POST]' }
[2022-06-21T12:58:04.117] [INFO] infoFile - { route: '/api/data/product/post', method: '[POST]' }
[2022-06-21T12:58:04.141] [INFO] infoFile - { route: '/api/data/product/get', method: '[GET]' }
[2022-06-21T12:58:24.838] [INFO] infoFile - { route: '/api/auth/login', method: '[POST]' }
[2022-06-21T12:58:25.147] [INFO] infoFile - { route: '/api/data/product/post', method: '[POST]' }
[2022-06-21T12:58:25.156] [INFO] infoFile - { route: '/api/data/product/get', method: '[GET]' }
[2022-06-21T12:58:46.647] [INFO] infoFile - { route: '/api/auth/login', method: '[POST]' }
[2022-06-21T12:58:46.972] [INFO] infoFile - { route: '/api/data/product/post', method: '[POST]' }
[2022-06-21T12:58:46.980] [INFO] infoFile - { route: '/api/data/product/get', method: '[GET]' }
[2022-06-21T13:00:00.652] [INFO] infoFile - { route: '/api/auth/login', method: '[POST]' }
[2022-06-21T13:00:01.005] [INFO] infoFile - { route: '/api/data/product/post', method: '[POST]' }
[2022-06-21T13:00:01.016] [INFO] infoFile - { route: '/api/data/product/get', method: '[GET]' }
[2022-06-21T13:01:27.321] [INFO] infoFile - { route: '/api/auth/login', method: '[POST]' }
[2022-06-21T13:01:35.833] [INFO] infoFile - { route: '/api/auth/login', method: '[POST]' }
[2022-06-21T13:02:42.046] [INFO] infoFile - { route: '/api/auth/login', method: '[POST]' }
[2022-06-21T13:02:42.344] [INFO] infoFile - { route: '/api/data/product/get', method: '[GET]' }
[2022-06-21T13:03:18.868] [INFO] infoFile - { route: '/api/auth/login', method: '[POST]' }
[2022-06-21T13:03:19.179] [INFO] infoFile - { route: '/api/auth/login', method: '[POST]' }
[2022-06-21T13:03:19.461] [INFO] infoFile - { route: '/api/data/product/get', method: '[GET]' }
[2022-06-21T13:04:01.827] [INFO] infoFile - { route: '/api/auth/login', method: '[POST]' }
[2022-06-21T13:04:02.142] [INFO] infoFile - { route: '/api/data/product/get', method: '[GET]' }
[2022-06-21T13:04:22.731] [INFO] infoFile - { route: '/api/auth/login', method: '[POST]' }
[2022-06-21T13:04:23.027] [INFO] infoFile - { route: '/api/data/product/get', method: '[GET]' }
[2022-06-21T13:10:18.279] [INFO] infoFile - { route: '/api/api/data/product/get', method: '[GET]' }
[2022-06-21T13:10:26.647] [INFO] infoFile - { route: '/api/api/data/product/get', method: '[GET]' }
[2022-06-21T13:10:30.925] [INFO] infoFile - { route: '/api/data/product/get', method: '[GET]' }
[2022-06-21T13:10:30.932] [INFO] infoFile - { route: '/', method: '[GET]' }
[2022-06-21T13:11:17.237] [INFO] infoFile - { route: '/api/auth/login', method: '[POST]' }
[2022-06-21T13:11:17.571] [INFO] infoFile - { route: '/api/data/product/get', method: '[GET]' }
[2022-06-21T13:11:36.089] [INFO] infoFile - { route: '/api/auth/login', method: '[POST]' }
[2022-06-21T13:11:36.409] [INFO] infoFile - { route: '/api/data/product/get', method: '[GET]' }
[2022-06-21T13:18:04.090] [INFO] infoFile - {
  route: '/socket.io/?EIO=4&transport=polling&t=O67V5Yz',
  method: '[GET]'
}
[2022-06-21T13:18:08.312] [INFO] infoFile - {
  route: '/socket.io/?EIO=4&transport=polling&t=O67V70n',
  method: '[GET]'
}
[2022-06-21T13:18:12.701] [INFO] infoFile - { route: '/api/auth/login', method: '[POST]' }
[2022-06-21T13:18:13.008] [INFO] infoFile - { route: '/api/data/product/get', method: '[GET]' }
[2022-06-21T13:18:14.322] [INFO] infoFile - {
  route: '/socket.io/?EIO=4&transport=polling&t=O67V8Ui',
  method: '[GET]'
}
